"","tree","chamber","date","flux","fluxMedian","fluxSD","flux_g","fluxMedian_g","fluxSD_g","AIC","r2"
"1","1","1","2017-06-21","1.64140645120159","1.55865533144697","0.275762732345857","1.70337020129703","1.61749519367123","0.286172885797006","321.506132738718","0.909669115639258"
"2","2","1","2017-06-21","2.43726110284923","2.30358827131702","0.0989101321120045","2.52926868438623","2.39054964999455","0.102644029163286","177.108406927967","0.992511784218978"
"3","2","2","2017-06-21","4.45562250171647","4.42275918027796","0.0523087741581044","4.62382403340526","4.58972010843713","0.0542834513060826","234.723629627917","0.998362228172814"
"4","2","3","2017-06-21","4.24239702396854","4.28762177301387","0.0421136720513882","4.40254920858216","4.44948120999385","0.043703480016797","172.382110307966","0.998461855259361"
"5","3","1","2017-06-21","1.83669085322571",NA,"0.0324465318850982","1.90602666761132",NA,"0.0336714014423734","102.362545623061","0.986454526641791"
"6","4","1","2017-06-19","3.75630844449172","3.83846385868513","0.0678314053181464","3.89811059079466","3.98336740473603","0.0703920680014685","124.13180246326","0.999171287060876"
"7","5","1","2017-06-21","1.81813012456025",NA,"0.0313924073565163","1.88676526401445",NA,"0.0325774832911877","155.417874413255","0.984156280488883"
"8","5","2","2017-06-21","1.602432515123",NA,"0.0301882417236724","1.6629249835419",NA,"0.0313278599240377","167.450187528645","0.980171356576527"
"9","6","1","2017-06-19","4.87484620122776","4.84542839702563","0.0212169717061169","5.05887359526259","5.02834525718471","0.0220179208748115","160.251291400075","0.999378511543624"
"10","7","1","2017-06-19","3.04243458996772","3.07790242531438","0.0494626458469814","3.15728771271283","3.19409447303097","0.0513298805127632","135.199395610538","0.998057730667539"
"11","8","1","2017-06-21","1.64492423777767","1.57938434014479","0.0972228656199546","1.70702078572347","1.63900673073899","0.100893067686254","280.340902607963","0.968645726313315"
"12","8","2","2017-06-21","3.31320498720547","3.17333291275337","0.1184371606902","3.43827980075447","3.29312749954298","0.122908210881119","323.670553388544","0.987823484958766"
"13","8","3","2017-06-21","4.29117378926587","4.36841794288764","0.0849201796252976","4.45316731628017","4.53332746759882","0.0881259503742245","232.738574769096","0.998195158771351"
"14","9","1","2017-06-21","2.23782830190358","2.24808501412059","0.0248869581200597","2.32230721543176","2.33295112263765","0.0258264507438752","176.664191512142","0.99765964942901"
"15","10","1","2017-06-21","1.41356354088281","1.40188824821389","0.074915265006004","1.46692612997655","1.45481009033926","0.0777433462260867","146.360233586033","0.990342991475401"
"16","10","2","2017-06-21","3.43977950798059","3.43602636254677","0.0692665754727799","3.56963256031866","3.56573773214345","0.0718814164035075","236.451855153691","0.995258742583785"
"17","11","1","2017-06-21","1.76495671981005","1.7320845741587","0.0672486153672346","1.83158454196557","1.79747145966702","0.0697872774967938","257.174218182196","0.973033254563206"
"18","11","2","2017-06-21","3.51096894262971","3.48540678934479","0.0615357578396678","3.64350942460156","3.61698228980527","0.0638587573124184","266.822786200982","0.996340969296414"
"19","12","1","2017-06-21","1.70130895208448","1.64540395028358","0.0215290468524975","1.76553404554925","1.70751860756837","0.022341776982798","337.632959153266","0.995134572479846"
"20","12","2","2017-06-21","1.80674809768504","1.84682701951265","0.0409365891152412","1.87495356107189","1.91654547823006","0.0424819617289772","122.25166382058","0.995798398927509"
"21","13","1","2017-06-21","2.26342174093845",NA,"0.0187382092665746","2.34886681702758",NA,"0.0194455841616715","63.7610389416587","0.996789103232041"
"22","13","2","2017-06-21","2.49681151680841","2.53779789424177","0.079868014237423","2.59106715029253","2.63360077986856","0.0828830637220914","308.347469854131","0.991356588583259"
"23","14","1","2017-06-21","2.56544944614643","2.48330036913247","0.0804185049555305","2.66229618891823","2.57704595138737","0.0834543356850038","206.555042826011","0.994455115678624"
"24","14","2","2017-06-21","4.18101176476995","4.12146156033363","0.0952688875027649","4.33884663129472","4.27704838282085","0.0988653261135493","150.389855686257","0.998312030247745"
"25","14","3","2017-06-21","3.99989534371115","4.03464747464243","0.0394598236244516","4.15089299289438","4.18695703066918","0.0409494477502041","242.158825401767","0.997758578997548"
